pl_name,ra,dec,sy_dist,X,Y,Z,pl_bmasse,color
Kepler-1675 b,283.8095478,41.0412517,651.117,117.22243233979711,-476.90117342967244,427.52487626656676,,n
Kepler-1676 b,287.2368778,43.5671665,,,,,,n
Kepler-1677 b,298.493273,47.0130566,735.369,239.19465540110926,-440.6651249188244,537.9291130519165,,n
Kepler-1678 b,292.5916297,38.3995629,847.339,255.10483593526354,-613.1024471247905,526.3176730198558,,n
Kepler-1679 b,293.9005786,50.4270507,909.28,234.6901127807006,-529.5939028767478,700.8858447698568,,n
Kepler-168 b,294.7101832,39.8250437,1343.6,431.3593494807893,-937.4035976410847,860.5025082735445,,n
Kepler-168 c,294.7101832,39.8250437,1343.6,431.3593494807893,-937.4035976410847,860.5025082735445,,n
Kepler-1680 b,297.0746571,39.9338893,310.315,108.30096529616736,-211.86967889760294,199.19221697833717,,n
Kepler-1681 b,296.6972773,46.3716969,758.3,235.06584696880057,-467.4317481979828,548.8811331840601,,n
Kepler-1682 b,293.9835827,39.5728474,1159.85,363.4007410382961,-816.8412501590009,738.892614627794,,n
Kepler-1683 b,298.4501035,44.2840193,733.143,250.03400531523852,-461.4632466457432,511.89190912749285,,n
